Commodity,Date,Unit,Minimum,Maximum,Average
Clive Dry,6/11/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Clive Green,6/11/2024,KG,Rs 130.00,Rs 150.00,Rs 140.00
Fish Fresh(Rahu),6/11/2024,KG,Rs 325.00,Rs 330.00,Rs 328.33
Fish Fresh(Bachuwa),6/11/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Fish Fresh(Chhadi),6/11/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),6/11/2024,KG,Rs 330.00,Rs 340.00,Rs 335.00
King Oyster,6/11/2024,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Indian),6/10/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Local),6/10/2024,KG,Rs 15.00,Rs 22.00,Rs 19.00
Tomato Small(Tunnel),6/10/2024,KG,Rs 26.00,Rs 30.00,Rs 27.60
Potato Red,6/10/2024,KG,Rs 50.00,Rs 55.00,Rs 52.40
Potato Red(Indian),6/10/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato Red(Mude),6/10/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Onion Dry (Indian),6/10/2024,KG,Rs 75.00,Rs 80.00,Rs 78.00
Carrot(Local),6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Local),6/10/2024,KG,Rs 15.00,Rs 25.00,Rs 19.00
Cauli Local,6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local(Jyapu),6/10/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Raddish White(Hybrid),6/10/2024,KG,Rs 20.00,Rs 30.00,Rs 26.00
Brinjal Long,6/10/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,6/10/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),6/10/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
Cowpea(Short),6/10/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,6/10/2024,KG,Rs 220.00,Rs 240.00,Rs 230.00
French Bean(Local),6/10/2024,KG,Rs 40.00,Rs 50.00,Rs 46.00
French Bean(Hybrid),6/10/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),6/10/2024,KG,Rs 150.00,Rs 200.00,Rs 175.00
Soyabean Green,6/10/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Bitter Gourd,6/10/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Bottle Gourd,6/10/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pointed Gourd(Local),6/10/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Pointed Gourd(Terai),6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Snake Gourd,6/10/2024,KG,Rs 30.00,Rs 40.00,Rs 36.67
Smooth Gourd,6/10/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Sponge Gourd,6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,6/10/2024,KG,Rs 35.00,Rs 40.00,Rs 37.50
Squash(Long),6/10/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),6/10/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,6/10/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sweet Potato,6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,6/10/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Christophine,6/10/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brd Leaf Mustard,6/10/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Mustard Leaf,6/10/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Onion Green,6/10/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mushroom(Kanya),6/10/2024,KG,Rs 180.00,Rs 220.00,Rs 196.00
Mushroom(Button),6/10/2024,KG,Rs 280.00,Rs 320.00,Rs 300.00
Asparagus,6/10/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Neuro,6/10/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,6/10/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Sugarbeet,6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 63.33
Drumstick,6/10/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Red Cabbbage,6/10/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lettuce,6/10/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,6/10/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Parseley,6/10/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Mint,6/10/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Turnip A,6/10/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,6/10/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Bamboo Shoot,6/10/2024,KG,Rs 100.00,Rs 110.00,Rs 105.00
Tofu,6/10/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,6/10/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),6/10/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,6/10/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,6/10/2024,KG,Rs 220.00,Rs 260.00,Rs 242.50
Pomegranate,6/10/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Mango(Maldah),6/10/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mango(Dushari),6/10/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Water Melon(Green),6/10/2024,KG,Rs 40.00,Rs 45.00,Rs 43.33
Mandarin,6/10/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,6/10/2024,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),6/10/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Cucumber(Hybrid),6/10/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Jack Fruit,6/10/2024,KG,Rs 40.00,Rs 50.00,Rs 44.00
Pear(Chinese),6/10/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Indian),6/10/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Litchi(Local),6/10/2024,KG,Rs 110.00,Rs 130.00,Rs 120.00
Litchi(Indian),6/10/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Kiwi,6/10/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Avocado,6/10/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Ginger,6/10/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Chilli Dry,6/10/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,6/10/2024,KG,Rs 80.00,Rs 90.00,Rs 86.00
Chilli Green(Bullet),6/10/2024,KG,Rs 80.00,Rs 90.00,Rs 86.00
Chilli Green(Machhe),6/10/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Capsicum,6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Garlic Green,6/10/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Coriander Green,6/10/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Garlic Dry Chinese,6/10/2024,KG,Rs 220.00,Rs 240.00,Rs 230.00
Garlic Dry Nepali,6/10/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Dry,6/10/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Fish Fresh(Rahu),6/10/2024,KG,Rs 320.00,Rs 330.00,Rs 325.00
Fish Fresh(Bachuwa),6/10/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Fish Fresh(Chhadi),6/10/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
