Commodity,Date,Unit,Minimum,Maximum,Average
Kiwi,10/20/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Sarifa,10/20/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Avocado,10/20/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Amla,10/20/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Ginger,10/20/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Chilli Dry,10/20/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Chilli Green,10/20/2023,KG,Rs 160.00,Rs 180.00,Rs 170.00
Chilli Green(Bullet),10/20/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Chilli Green(Machhe),10/20/2023,KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Akbare),10/20/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Capsicum,10/20/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Garlic Green,10/20/2023,KG,Rs 250.00,Rs 280.00,Rs 265.00
Coriander Green,10/20/2023,KG,Rs 100.00,Rs 150.00,Rs 125.00
Garlic Dry Chinese,10/20/2023,KG,Rs 240.00,Rs 250.00,Rs 245.00
Garlic Dry Nepali,10/20/2023,KG,Rs 260.00,Rs 280.00,Rs 270.00
Clive Dry,10/20/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),10/20/2023,KG,Rs 370.00,Rs 380.00,Rs 375.00
Fish Fresh(Bachuwa),10/20/2023,KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Chhadi),10/20/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),10/20/2023,KG,Rs 250.00,Rs 260.00,Rs 255.00
Tree Tomato,10/20/2023,Kg,Rs 120.00,Rs 140.00,Rs 130.00
Tomato Big(Nepali),10/19/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Tomato Big(Indian),10/19/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Local),10/19/2023,KG,Rs 30.00,Rs 36.00,Rs 32.75
Tomato Small(Tunnel),10/19/2023,KG,Rs 35.00,Rs 45.00,Rs 41.00
Tomato Small(Indian),10/19/2023,KG,Rs 30.00,Rs 35.00,Rs 32.50
Potato Red,10/19/2023,KG,Rs 60.00,Rs 65.00,Rs 62.50
Potato Red(Indian),10/19/2023,KG,Rs 36.00,Rs 40.00,Rs 38.00
Potato Red(Mude),10/19/2023,KG,Rs 42.00,Rs 46.00,Rs 44.25
Potato White,10/19/2023,KG,Rs 42.00,Rs 45.00,Rs 43.50
Onion Dry (Indian),10/19/2023,KG,Rs 80.00,Rs 84.00,Rs 81.60
Carrot(Local),10/19/2023,KG,Rs 100.00,Rs 110.00,Rs 105.00
Carrot(Terai),10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cabbage(Local),10/19/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,10/19/2023,KG,Rs 110.00,Rs 130.00,Rs 120.00
Raddish Red,10/19/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),10/19/2023,KG,Rs 20.00,Rs 30.00,Rs 25.00
Raddish White(Hybrid),10/19/2023,KG,Rs 25.00,Rs 35.00,Rs 31.00
Brinjal Long,10/19/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,10/19/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),10/19/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cowpea(Short),10/19/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Green Peas,10/19/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
French Bean(Local),10/19/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
French Bean(Hybrid),10/19/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
French Bean(Rajma),10/19/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Sword Bean,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Soyabean Green,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Bitter Gourd,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,10/19/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.00
Snake Gourd,10/19/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,10/19/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sponge Gourd,10/19/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,10/19/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Turnip,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sweet Potato,10/19/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,10/19/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,10/19/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,10/19/2023,KG,Rs 15.00,Rs 20.00,Rs 17.50
Brd Leaf Mustard,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Spinach Leaf,10/19/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Cress Leaf,10/19/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Mustard Leaf,10/19/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,10/19/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Onion Green,10/19/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mushroom(Kanya),10/19/2023,KG,Rs 130.00,Rs 170.00,Rs 150.00
Mushroom(Button),10/19/2023,KG,Rs 280.00,Rs 320.00,Rs 305.00
Asparagus,10/19/2023,KG,Rs 500.00,Rs 550.00,Rs 525.00
Neuro,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,10/19/2023,KG,Rs 120.00,Rs 150.00,Rs 135.00
Sugarbeet,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Drumstick,10/19/2023,KG,Rs 200.00,Rs 220.00,Rs 210.00
Red Cabbbage,10/19/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Lettuce,10/19/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Celery,10/19/2023,KG,Rs 350.00,Rs 400.00,Rs 375.00
Fennel Leaf,10/19/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Mint,10/19/2023,KG,Rs 400.00,Rs 450.00,Rs 425.00
Turnip A,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,10/19/2023,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,10/19/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,10/19/2023,KG,Rs 120.00,Rs 130.00,Rs 125.00
Gundruk,10/19/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),10/19/2023,KG,Rs 280.00,Rs 300.00,Rs 290.00
Apple(Fuji),10/19/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Banana,10/19/2023,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,10/19/2023,KG,Rs 120.00,Rs 160.00,Rs 143.33
Pomegranate,10/19/2023,KG,Rs 350.00,Rs 400.00,Rs 375.00
Grapes(Black),10/19/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Orange(Indian),10/19/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Water Melon(Green),10/19/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,10/19/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mandarin,10/19/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,10/19/2023,1 Pc,Rs 140.00,Rs 150.00,Rs 145.00
Cucumber(Local),10/19/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cucumber(Hybrid),10/19/2023,KG,Rs 25.00,Rs 35.00,Rs 30.00
Lemon,10/19/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Local),10/19/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pear(Chinese),10/19/2023,KG,Rs 220.00,Rs 240.00,Rs 230.00
Papaya(Nepali),10/19/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Papaya(Indian),10/19/2023,KG,Rs 110.00,Rs 120.00,Rs 116.67
Guava,10/19/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mombin,10/19/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Kiwi,10/19/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Sarifa,10/19/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Avocado,10/19/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Amla,10/19/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Ginger,10/19/2023,KG,Rs 120.00,Rs 150.00,Rs 136.00
Chilli Dry,10/19/2023,KG,Rs 450.00,Rs 480.00,Rs 465.00
Chilli Green,10/19/2023,KG,Rs 140.00,Rs 150.00,Rs 145.00
Chilli Green(Bullet),10/19/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Chilli Green(Machhe),10/19/2023,KG,Rs 120.00,Rs 130.00,Rs 125.00
Chilli Green(Akbare),10/19/2023,KG,Rs 250.00,Rs 350.00,Rs 300.00
Capsicum,10/19/2023,KG,Rs 160.00,Rs 180.00,Rs 170.00
Garlic Green,10/19/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Coriander Green,10/19/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Garlic Dry Chinese,10/19/2023,KG,Rs 240.00,Rs 250.00,Rs 245.00
Garlic Dry Nepali,10/19/2023,KG,Rs 260.00,Rs 280.00,Rs 270.00
Clive Dry,10/19/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),10/19/2023,KG,Rs 370.00,Rs 380.00,Rs 375.00
Fish Fresh(Bachuwa),10/19/2023,KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Chhadi),10/19/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),10/19/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Tree Tomato,10/19/2023,Kg,Rs 120.00,Rs 140.00,Rs 130.00
Tomato Big(Nepali),10/18/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Tomato Big(Indian),10/18/2023,KG,Rs 32.00,Rs 40.00,Rs 36.00
Tomato Small(Local),10/18/2023,KG,Rs 25.00,Rs 32.00,Rs 28.40
Tomato Small(Tunnel),10/18/2023,KG,Rs 30.00,Rs 42.00,Rs 37.40
Tomato Small(Indian),10/18/2023,KG,Rs 30.00,Rs 35.00,Rs 33.33
Potato Red,10/18/2023,KG,Rs 60.00,Rs 65.00,Rs 62.50
Potato Red(Indian),10/18/2023,KG,Rs 38.00,Rs 40.00,Rs 39.00
Potato Red(Mude),10/18/2023,KG,Rs 42.00,Rs 46.00,Rs 44.20
Potato White,10/18/2023,KG,Rs 42.00,Rs 45.00,Rs 43.50
Onion Dry (Indian),10/18/2023,KG,Rs 78.00,Rs 82.00,Rs 80.00
Carrot(Local),10/18/2023,KG,Rs 110.00,Rs 120.00,Rs 115.00
Carrot(Terai),10/18/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cabbage(Local),10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local,10/18/2023,KG,Rs 110.00,Rs 120.00,Rs 116.00
Raddish Red,10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),10/18/2023,KG,Rs 25.00,Rs 35.00,Rs 30.00
Raddish White(Hybrid),10/18/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,10/18/2023,KG,Rs 25.00,Rs 35.00,Rs 30.00
Brinjal Round,10/18/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),10/18/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cowpea(Short),10/18/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Green Peas,10/18/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
French Bean(Local),10/18/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),10/18/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Rajma),10/18/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Sword Bean,10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Soyabean Green,10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bottle Gourd,10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Local),10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,10/18/2023,KG,Rs 30.00,Rs 40.00,Rs 36.67
Smooth Gourd,10/18/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sponge Gourd,10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,10/18/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),10/18/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Turnip,10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,10/18/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sweet Potato,10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,10/18/2023,KG,Rs 10.00,Rs 15.00,Rs 12.40
Brd Leaf Mustard,10/18/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Spinach Leaf,10/18/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Cress Leaf,10/18/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Mustard Leaf,10/18/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,10/18/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Onion Green,10/18/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mushroom(Kanya),10/18/2023,KG,Rs 130.00,Rs 160.00,Rs 145.00
Mushroom(Button),10/18/2023,KG,Rs 300.00,Rs 350.00,Rs 324.00
Asparagus,10/18/2023,KG,Rs 500.00,Rs 550.00,Rs 525.00
Neuro,10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,10/18/2023,KG,Rs 120.00,Rs 160.00,Rs 144.00
Sugarbeet,10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Drumstick,10/18/2023,KG,Rs 200.00,Rs 220.00,Rs 210.00
Red Cabbbage,10/18/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Lettuce,10/18/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Celery,10/18/2023,KG,Rs 350.00,Rs 400.00,Rs 375.00
Fennel Leaf,10/18/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Mint,10/18/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Turnip A,10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,10/18/2023,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,10/18/2023,KG,Rs 90.00,Rs 100.00,Rs 93.33
Tofu,10/18/2023,KG,Rs 120.00,Rs 130.00,Rs 126.67
Gundruk,10/18/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),10/18/2023,KG,Rs 260.00,Rs 280.00,Rs 270.00
Apple(Fuji),10/18/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Banana,10/18/2023,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,10/18/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Pomegranate,10/18/2023,KG,Rs 350.00,Rs 380.00,Rs 365.00
Grapes(Black),10/18/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Orange(Indian),10/18/2023,KG,Rs 140.00,Rs 150.00,Rs 145.00
Water Melon(Green),10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,10/18/2023,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mandarin,10/18/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,10/18/2023,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),10/18/2023,KG,Rs 70.00,Rs 80.00,Rs 76.00
Cucumber(Hybrid),10/18/2023,KG,Rs 40.00,Rs 50.00,Rs 43.33
Lemon,10/18/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Local),10/18/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Pear(Chinese),10/18/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),10/18/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Papaya(Indian),10/18/2023,KG,Rs 130.00,Rs 140.00,Rs 135.00
Guava,10/18/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mombin,10/18/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,10/18/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Sarifa,10/18/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Avocado,10/18/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Amla,10/18/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Ginger,10/18/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Chilli Dry,10/18/2023,KG,Rs 450.00,Rs 480.00,Rs 465.00
Chilli Green,10/18/2023,KG,Rs 130.00,Rs 140.00,Rs 136.00
Chilli Green(Bullet),10/18/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Chilli Green(Machhe),10/18/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Akbare),10/18/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Capsicum,10/18/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Garlic Green,10/18/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Coriander Green,10/18/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Garlic Dry Chinese,10/18/2023,KG,Rs 240.00,Rs 260.00,Rs 248.00
Garlic Dry Nepali,10/18/2023,KG,Rs 250.00,Rs 280.00,Rs 267.50
Clive Dry,10/18/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),10/18/2023,KG,Rs 370.00,Rs 380.00,Rs 375.00
Fish Fresh(Bachuwa),10/18/2023,KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Chhadi),10/18/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),10/18/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Tree Tomato,10/18/2023,Kg,Rs 120.00,Rs 150.00,Rs 135.00
Tomato Big(Nepali),10/17/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Tomato Big(Indian),10/17/2023,KG,Rs 28.00,Rs 35.00,Rs 31.60
Tomato Small(Local),10/17/2023,KG,Rs 25.00,Rs 30.00,Rs 28.60
Tomato Small(Tunnel),10/17/2023,KG,Rs 30.00,Rs 42.00,Rs 37.40
Tomato Small(Indian),10/17/2023,KG,Rs 25.00,Rs 30.00,Rs 28.33
Potato Red,10/17/2023,KG,Rs 60.00,Rs 65.00,Rs 62.50
Potato Red(Indian),10/17/2023,KG,Rs 34.00,Rs 36.00,Rs 35.00
Potato Red(Mude),10/17/2023,KG,Rs 42.00,Rs 46.00,Rs 44.20
Potato White,10/17/2023,KG,Rs 42.00,Rs 45.00,Rs 43.50
Onion Dry (Indian),10/17/2023,KG,Rs 75.00,Rs 78.00,Rs 76.40
Carrot(Local),10/17/2023,KG,Rs 100.00,Rs 120.00,Rs 112.00
Carrot(Terai),10/17/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cabbage(Local),10/17/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,10/17/2023,KG,Rs 85.00,Rs 100.00,Rs 93.00
Raddish Red,10/17/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),10/17/2023,KG,Rs 25.00,Rs 35.00,Rs 29.00
Raddish White(Hybrid),10/17/2023,KG,Rs 35.00,Rs 45.00,Rs 40.00
Brinjal Long,10/17/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,10/17/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),10/17/2023,KG,Rs 90.00,Rs 110.00,Rs 100.00
Cowpea(Short),10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,10/17/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
French Bean(Local),10/17/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),10/17/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Rajma),10/17/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Sword Bean,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Soyabean Green,10/17/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bitter Gourd,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 76.00
Bottle Gourd,10/17/2023,KG,Rs 60.00,Rs 70.00,Rs 63.33
Pointed Gourd(Local),10/17/2023,KG,Rs 65.00,Rs 75.00,Rs 70.00
Pointed Gourd(Terai),10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Snake Gourd,10/17/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,10/17/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sponge Gourd,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Pumpkin,10/17/2023,KG,Rs 35.00,Rs 40.00,Rs 37.50
Squash(Round),10/17/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Turnip,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,10/17/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sweet Potato,10/17/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Barela,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,10/17/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,10/17/2023,KG,Rs 10.00,Rs 15.00,Rs 12.50
Brd Leaf Mustard,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Spinach Leaf,10/17/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Cress Leaf,10/17/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Mustard Leaf,10/17/2023,KG,Rs 40.00,Rs 50.00,Rs 46.67
Fenugreek Leaf,10/17/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Onion Green,10/17/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Yam,10/17/2023,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mushroom(Kanya),10/17/2023,KG,Rs 140.00,Rs 170.00,Rs 154.00
Mushroom(Button),10/17/2023,KG,Rs 300.00,Rs 350.00,Rs 325.00
Asparagus,10/17/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Neuro,10/17/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brocauli,10/17/2023,KG,Rs 140.00,Rs 160.00,Rs 150.00
Sugarbeet,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Drumstick,10/17/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Red Cabbbage,10/17/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Lettuce,10/17/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,10/17/2023,KG,Rs 350.00,Rs 400.00,Rs 375.00
Fennel Leaf,10/17/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Mint,10/17/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Turnip A,10/17/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,10/17/2023,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,10/17/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,10/17/2023,KG,Rs 120.00,Rs 130.00,Rs 126.67
Gundruk,10/17/2023,KG,Rs 250.00,Rs 300.00,Rs 283.33
Apple(Jholey),10/17/2023,KG,Rs 260.00,Rs 280.00,Rs 270.00
Apple(Fuji),10/17/2023,KG,Rs 330.00,Rs 360.00,Rs 346.67
Banana,10/17/2023,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,10/17/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Pomegranate,10/17/2023,KG,Rs 350.00,Rs 450.00,Rs 400.00
Grapes(Black),10/17/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Orange(Indian),10/17/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Water Melon(Green),10/17/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,10/17/2023,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mandarin,10/17/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,10/17/2023,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),10/17/2023,KG,Rs 70.00,Rs 90.00,Rs 78.00
Cucumber(Hybrid),10/17/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lemon,10/17/2023,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Local),10/17/2023,KG,Rs 100.00,Rs 120.00,Rs 110.00
Pear(Chinese),10/17/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),10/17/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Papaya(Indian),10/17/2023,KG,Rs 110.00,Rs 120.00,Rs 115.00
Guava,10/17/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mombin,10/17/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,10/17/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Sarifa,10/17/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Avocado,10/17/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Amla,10/17/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Ginger,10/17/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Chilli Dry,10/17/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Chilli Green,10/17/2023,KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Bullet),10/17/2023,KG,Rs 140.00,Rs 150.00,Rs 145.00
Chilli Green(Machhe),10/17/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Akbare),10/17/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Capsicum,10/17/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Garlic Green,10/17/2023,KG,Rs 280.00,Rs 300.00,Rs 290.00
Coriander Green,10/17/2023,KG,Rs 120.00,Rs 200.00,Rs 156.67
